Account,trade_date,daily_pnl,daily_volume,avg_trade_size,num_trades,daily_fees,win_count,closing_trade_count,pnl_volatility,net_signed_size,buy_volume,win_rate,fee_pct_of_volume
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,211.993347,107105.1,378.4632508833922,283,36.408898,108.0,163,8.96199521592655,-329218.02945000003,46616.95999999999,66.25766871165644,0.033993617484134736
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,-527.861855,274298.36,1549.7082485875706,177,93.240848,69.0,98,36.19302313785723,3439.2665800000013,141820.87000000002,70.40816326530613,0.033992491971151416
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,388.890278,150442.21,808.8290860215053,186,51.674178,74.0,99,8.924911486802008,-816.2749999999987,74252.68999999997,74.74747474747475,0.03434819124233817
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,133.734646,184383.78,861.6064485981308,214,62.182144,85.0,114,6.0897368979466755,-710.5899999999995,88487.8,74.56140350877193,0.033724302647445456
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,10175.705812,51790.63,281.4708152173913,184,20.9958931,82.0,99,297.31448098802036,16222.83,26629.260000000002,82.82828282828282,0.04053994535304938
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,6191.916253,36321.7,221.47378048780487,164,12.73029777,92.0,108,149.79061664273678,-8623.26,11456.550000000001,85.18518518518519,0.03504873882555057
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,4119.486944,48866.67,257.193,190,16.78842838,92.0,97,73.92343177252806,-19537.8137,19033.67,94.84536082474226,0.03435558097165205
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,524.687813,14247.630000000001,127.21098214285715,112,4.71856429,52.0,54,25.20659700034681,10919.80868,9344.6,96.29629629629629,0.033118239945871694
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,4306.22352,11098.11,119.33451612903227,93,4.49847,51.0,51,125.02644760576332,-1139.6699999999996,2254.78,100.0,0.040533658433733306
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,5782.626637,16208.04,155.84653846153847,104,6.64321623,43.0,44,268.8256046162005,1940.61,4377.360000000001,97.72727272727273,0.04098716581400342
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,14698.972028,24243.28,257.90723404255317,94,8.10162876,50.0,50,749.0731783859337,-1103.8999999999999,3204.15,100.0,0.033418038978224075
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,1505.060594,9862.44,129.76894736842107,76,2.66104299,24.0,24,74.19540977544575,-3166.8599999999997,3587.4499999999994,100.0,0.02698158863323883
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,2935.104636,11616.42,165.94885714285715,70,3.41590893,28.0,28,337.5258782904745,-499.51,3744.8799999999997,100.0,0.02940586626516603
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,507.380745,10639.72,83.77732283464566,127,3.75475514,50.0,50,21.975072414845172,-20127.32,4523.079999999999,100.0,0.03528998075137316
